track_name,lyrics
I Ain't Worried,"35 ContributorsI Ain’t Worried Lyrics[Verse 1]
I don't know what you've been told
But time is running out, no need to take it slow
I'm stepping to you toe-to-toe
I should be scared, honey, maybe so

[Chorus]
But I ain't worried 'bout it right now (Right now)
Keeping dreams alive, 1999, heroes
I ain't worried 'bout it right now (Right now)
Swimmin' in the floods, dancing on the clouds below

[Post-Chorus]
I ain't worried 'bout it
I ain't worried 'bout it (Hey)

[Verse 2]
I don't know what you've been told
But time is running out so spend it like it's gold
I'm living like I'm nine-zeros
Got no regrets even when I am broke (Yeah)
I'm at my best when I got something I'm wanting to steal
Way too busy for them problems and problems to feel (Yeah, yeah)
No stressing, just obsessing with sealing the deal
I'll take it in and let it go
See OneRepublic LiveGet tickets as low as $78You might also like[Chorus]
But I ain't worried 'bout it right now (Right now)
Keeping dreams alive, 1999, heroes
I ain't worried 'bout it right now (Right now)
Swimmin' in the floods, dancing on the clouds below

[Post-Chorus]
I ain't worried 'bout it
I ain't worried 'bout it (Hey)

[Bridge]
Ooh, I ain't worried
Ooh, oh, no, no

[Chorus]
I ain't worried 'bout it right now (Right now)
Keeping dreams alive, 1999, heroes
I ain't worried 'bout it right now (Right now)
Swimmin' in the floods, dancing on the clouds below

[Post-Chorus]
I ain't worried 'bout it (Ooh, hey)
I ain't worried 'bout it (Ooh, hey)

[Outro]
I ain't worried 'bout it5Embed"
Overwhelming,"69 ContributorsOverwhelming Lyrics[Intro]
I'm working on dying

[Chorus]
Posted in the trenches, yeah, that's where I'm flexing
Philly what I'm repping, Oogie Mane, he killed it
Matt OX in the building, 'bout to break the ceiling
I don't think you feel me, am I too overwhelming?
Posted in the trenches, yeah, that's where I'm flexing
Philly what I'm repping, Oogie Mane, he killed it
Matt OX in the building, 'bout to break the ceiling
I don't think you feel me, am I too overwhelming?

[Verse]
I-I-I don't think they know where I be at (Be at)
I don't think they know who I be with (Be with)
Yeah, I'm headed to the top for the millions (The millions)
And I'm staying with my gang, I ain't scheming (Never)
Used to hate on me, used to sleep on me
Now I'm almost at the top where I was dreaming to be
Now they waiting for a song, they be fiending on me
Know lots of my homies still hustle on the streets
Yeah, I'm in the kitchen and you know I'm whipping
All my sauce is dripping, dip my chicken in it
Boy, you know I'm flexing, yeah, I'm up next, man
Riding in the Lexus, my homies get big checks
When I'm in the hood I'm the Big Bad Wolf
I be getting to this guap and it never is enough
I'ma get all this money 'til my bank is filled too much
I don't know why they fuss, they ain't ready for us
You might also like[Chorus]
P-P-Posted in the trenches, yeah, that's where I'm flexing
Philly what I'm repping, Oogie Mane, he killed it
Matt OX in the building, 'bout to break the ceiling
I don't think you feel me, am I too overwhelming?
P-P-Posted in the trenches, yeah, that's where I'm flexing
Philly what I'm repping, Oogie Mane, he killed it
Matt OX in the building, 'bout to break the ceiling
I don't think you feel me, am I too overwhelming?21Embed"
Satellite,"61 ContributorsTranslationsTürkçeEspañolPortuguêsहिन्दीFrançaisSatellite Lyrics[Verse 1]
You got a new life
Am I bothering you? Do you wanna talk?
We share the last line
Then we drink the wall till we wanna talk

[Pre-Chorus]
I go 'round and 'round
Satellite

[Chorus]
Spinnin' out, waitin' for ya to pull me in
I can see you're lonely down there
Don't you know that I am right here?
Spinnin' out, waitin' for ya to pull me in
I can see you're lonely down there
Don't you know that I am right here?

[Post-Chorus]
Spinnin' out, waitin' for ya

[Verse 2]
I'm in an L.A. mood
I don't wanna talk to you
She said, ""Give me a day or two""
See Harry Styles LiveGet tickets as low as $73You might also like[Pre-Chorus]
I go 'round and 'round
Satellite

[Chorus]
Spinnin' out, waitin' for ya to pull me in
I can see you're lonely down there
Don't you know that I am right here?
Spinnin' out, waitin' for ya to pull me in
I can see you're lonely down there
Don't you know that I am right here?
[Bridge]
Right here, right here
Spinnin' out, waitin' for ya
I'm here, right here
Wishin' I could be there for ya
Be there for ya
Be there for ya, for ya
For ya
Be there for ya

[Chorus]
Spinnin' out, waitin' for ya to pull me in (Spinnin' out, waitin')
I can see you're lonely down there
Don't you know that I am right here? (Spinnin' out, waitin' for ya)
Spinnin' out, waitin' for ya to pull me in (For ya, for ya, for ya)
I can see you're lonely down there
Don't you know that I am right here?
Spinnin' out, waitin' for ya to pull me in (For ya, for ya, for ya)
I can see you're lonely down there (Spinnin' out, waitin' for ya)
Don't you know that I am right here?41Embed"
The Spins,"62 ContributorsThe Spins Lyrics[Intro: Mac Miller]
Dope shit like that, Jerm
Oh, hi
Welcome back to K.I.D.S., um
Follow your dreams
Yeah

[Verse 1: Mac Miller]
Wanna get a mansion, a jacuzzi
A theater to watch my movies
Couple whips and lots of fancy things
The kids they call the Goonies
I see the future, crystal ball
Mirror mirror hangin' on the wall
Who the flyest white boy of them all?
Got your girlfriend screenin' all the calls
She bubblin', we fuckin', then you cuddlin'
Like, baby, where the fuck you been?
Don't wanna tell you she in love with him
So, so we ain't sayin' nothin'
You could probably tell she bluffin'
'Cause she kiss you with the mouth
She gave me head with my concussion
Yeah, she blushin', all red
Wanna rush and go to bed
You interrogate that bitch like you the feds
So she says she in love with a rockstar, rockstar
Wanna smoke my weed, so she asks me where the tops are, tops are
You might also like[Chorus: Empire of the Sun & Mac Miller]
Oh (Top drawer, haha), oh, oh (Yeah)
Honey, I need you 'round (Haha)
I know, I know (Just some motherfuckin' kids)
Oh, oh, oh
Honey, I need you 'round (Make money, fuck bitches)
I know (Yeah), I know (Pittsburgh, hey, Jerm, hey)

[Verse 2: Mac Miller]
These hoes is drunk, wanna come and smoke this blunt
Then let me take 'em home and do anything I want
I said, baby, I can ride you, just let me get inside you
I can take you higher if you hit this vaporizer
I got that dope dick, I'll be your supplier
You grabbin' on my sheets and hittin' notes like you Mariah
Obsessed with me
Undress a freak on ecstasy
I'm out and then she textin' me
Like, ""What you doin' next week, next week?"" (Yeah)

[Bridge: Empire of the Sun & Mac Miller]
Hear me now
I'm down on knees and praying
Though my faith is weak
Without you so please, baby, please
Give us a chance
Make amends and I will stand up 'til the end
A million times, a trillion more (Hey)
[Chorus: Empire of the Sun & Mac Miller]
Oh, oh, oh (Hey, I just wanted to inform y'all)
Honey, I need you 'round (I'm drunk as fuck)
I know, I know (Most Dope, bitch, hey)
Oh, oh, oh (K.I.D.S., what's up?)
Honey, I need you 'round (I'm high as fuck, yeah, yes, sir)
I know, I know (Oh, I graduated, oh yeah, I just graduated high school, haha)

[Outro: Mac Miller & Empire of the Sun]
Hey, homie
Don't be mad that your girl loves me (Don't cut anything yet)
It's not my fault (Yeah)
I'm just doin' me (Haha)
If your girl love me, let her love me, you feel me?
So, baby
Smile (Uh-huh)
Baby, don't cry
I will only fly
With you by my side26Embed"
Waste of Time,"22 ContributorsWaste of Time LyricsPum-Pumbaa are you nuts?

[Verse 1]
I don't know when you thought that this shit wasn't worth prioritizing or at least
Givin' my ass a heads up so I could continue with the way I used to be
I don't know when you changed it up on me, but I coulda swore I never got the text
I could've planned this shit accordingly, I hate to nag ya and I hate to stress
Cause I haven't been up on my regular shit, man, I was slowin' down a little to pursue this
I ain't a regular bitch, and if I wanted to unblock a couple numbers we could do this
But I heard that ain't how you get your man back, bring back my wild and ratchet ass back
Back to the nights I'd open my tab like Henny's on tap
You know you hate that, so hey
Anything you gotta say now, probably gonna be the time to say it
Hmm
I would like a fuckin' breakdown, when were you planning on fuckin' telling me
That ever since we started talking you been on your jealousy
But in the meanwhile you been talking to Penelope and Heather and Alicia and Stephanie and Melanie and phone
Lookin' like a Petey Pablo song, offendin' me
And now I'm like

[Pre-Chorus]
No getting attached
I'm gonna go
I'll be alright
I'm better alone
See Snow Tha Product LiveGet tickets as low as $118You might also likeGetting attached
I'm gonna go
I'll be alright
I'm better alone

[Chorus]
Cause you a fuckin' waste of time
Cause you a fuckin' waste of time
A fuckin' waste of time, time, time
A fuckin' waste of time
A fuckin' waste of time

[Verse 2]
I don't know when you thought that it would be appropriate to give my ass a little warning
That's annoying, right?
Asking for the fucking food I ordered
I mean, yes, I'm too much 'cause I know that I'm tough and I'm not the submissive type
And I know that it's rough 'cause I made a few bucks and I stress 'cause the business tight
But that don't mean you get a pass to be hitting up Jasmine 'cause she got fired and she need a friend
She was in your class in math, like, way the fuck back, like, what am I an idiot?
'Cause I been knowin the code to your phone, but I don't wanna go in it because I already know what I'ma find
I been seeing too much and I throw it to the side
Turned a blind eye, at some point you just blind, uh huh
Oh, you think I ain't seen that? Uh huh
Oh, I shouldn't have to keep tabs? Uh huh
Maybe you shouldn't have led me on, I was thinking this whole time that we had something going strong, uh huh
Oh, I guess it's all in my head, uh huh
Switch up to get in my bed, uh huh
Funny only you have friends, but you check my DMs, checking hearts that get sent like
[Pre-Chorus]
No getting attached
I'm gonna go
I'll be alright
I'm better alone

Getting attached
I'm gonna go
I'll be alright
I'm better alone

Cause you a fuckin' waste of time
Cause you a fuckin' waste of time
A fuckin' waste of time, time, time
A fuckin' waste of time
A fuckin' waste of time

[Bridge]
I been waiting for you
I been waiting for you
Let's stop fucking bullshitting, what the fuck

[Pre-Chorus]
No getting attached
I'm gonna go
I'll be alright
I'm better alone
Getting attached
I'm gonna go
I'll be alright
I'm better alone

[Chorus]
Cause you a fuckin' waste of time
Cause you a fuckin' waste of time
A fuckin' waste of time, time, time
A fuckin' waste of time
A fuckin' waste of time12Embed"
Everything But You (feat. A7S),"1 ContributorNew Music Friday 02/18/22 LyricsJack Harlow - Nail Tech
Kid Cudi - Want It Bad (with Nigo)
Mimi Webb - House On Fire
Oliver Tree - Swing & A Miss
Gunna - Banking On Me
Vince Staples - MAGIC (feat. Mustard)
Tame Impala - The Boat I Row
Jessie Murph - Pray
Yeat - Outsidë (feat. Young Thug)
Stefflon Don - Like That
Lucky Daye - NWA (feat. Lil Durk)
Silk Sonic - Love's Train
Rex Orange County - AMAZING
Troye Sivan - Trouble
Maude Latour - Headphones
ROLE MODEL - if jesus saves, she's my type
J Balvin - Niño Soñador
Shenseea - R U That (feat. 21 Savage)
RealestK - Love Me
Ed Sheeran - Bad Habits (feat. Bring Me The Horizon)
Benson Boonе - ROOM FOR 2
Sabrina Carpenter - Fast Times
347aidan - BAD KIDS
Khruangbin - Mariеlla
Mike Dimes - HOME
DDG - Elon Musk (feat. Gunna)
Baby Tate - What's Love
Danny Ocean - Fuera del mercado
Clean Bandit - Everything But You (feat. A7S)
Alemeda - Post Nut Clarity
Ty Dolla $ign - Champions (feat. Wiz Khalifa)
SAINt JHN - For The Squadron
Tinashe - Naturally
Tessa Violet - YES MOM
Sara Kays - When You Look At Me
COIN - I Think I Met You In A Dream
SEB - fuck it, i'm the man
Beach House - Hurts to Love
Nilüfer Yanya - anotherlife
Dehd - Bad Love
Alicia Creti - Congratulations
Ozuna - Deprimida
Buddy - Wait Too Long (feat. Blxst)
Scorey - Girls Love Rod Wave
Mahalia - Letter To Ur Ex
DOE - Clarity
Jon Pardi - Last Night Lonely
Steve Aoki - KULT (feat. Jasiah)
Tobias Dray - Espada Primo
Chappell Roan - Naked in Manhattan
THE BLSSM - DIZZY
Wallice - Little League
DWLLRS - Float Through The Ceiling
Teezo Touchdown - Handyman
Mooski - Soul Bleed
Melii - Cartier
Goyo - Na Na Na
Alok - Headlights (feat. KIDDO)
Regard - Hallucination
Metronomy - Right on time
Grentperez - Why I Love You
Kurt Vile - Like Exploding Stones
Fontaines D.C. - I Love You
Nothing But Thieves - Life's Coming in Slow - from GRAN TURISMO 7
Jake Owen - Fishin' On A River
Sean Stemaly - Can't Be Me
Eddie Benjamin - Weatherman
Lukas Graham - All Of It All
Louis The Child - Blow The Roof (with Kasbo & EVAN GIIA)
OHGEESY - Let Me Know (feat. Kalan.FrFr)
Iayze - 556 (Green Tip)
Fredo Bang - 4's Up
Mwami - danser
Bob Moses - Never Ending
Future Islands - King of Sweden
Mila Degray - purple ribbon
Toast - 5am
Isaac Dunbar - Bleach
Romeo Santos - Sus Huellas
Kungs - Clap Your Hands
The Knocks - Slow Song (with Dragonette)
Tion Wayne - Knock Knock
Curren$y - Louis Baggage (feat. Babyface Ray)
Porsh Bet$ - Here
Ryan Hall - FRIENDS
Carlie Hanson - Girls In Line for the Bathroom
Zolita - Single In September
Hurray For The Riff Raff - SAGA
Train - AM Gold
JP Cooper - Radio
BROODS - I Keep (feat. Tove Lo)
KAIRO - Someone Like You
Liam Benzvi - Acts of Service 🕒
93FEETOFSMOKE - FUCKED OVER (feat. phem and Tosh the Drummer)
Big K.R.I.T. - Southside of the Moon
Pyrex Pryce - Busy Body
Boslen - LEVELS
IV4 - Can't Find Love in L.A
David Saint Val - Codependency
Jack Van Cleaf - Wild RosesYou might also likeEmbed"
We Will Meet Again,"4 ContributorsWe Will Meet Again LyricsYou've gone away, left us today
For another place and time
With so much more to give, so much life to live
So much love you've left behind

That's what makes it hard for me
That what makes it so unfair
I only know that someday, somewhere

We will meet again
We will meet again
Though I must let you go
I know it's not the end

It may take a lifetime
But wait for me my friend
I promise you
We will meet again

Don't you cry, at least please try
I can hear you say to me
So I'll be strong, I'll carry on
'Cause I know that's how you'd want it to be

And every time I start missing
Not having you around
I'll remember it's just so long for now
You might also likeWe will meet again
We will meet again
Though I must let you go
I know it's not the end

It may take a lifetime
But wait for me my friend
I promise you
We will meet again

Now it seems like we're worlds apart
But we're connected at the heart, oh
There's still memories to be made
And I won't be afraid, no

We will meet again
We will meet again
Though I must let you go
I know it's not the end

We will meet again
We will meet again
I promise you
We will meet again

We will meet again
Though I must let you go
I know it's not the end
We will meet again
Wait for me my friend
I promise you
We will meet againEmbed"
Another Day in Paradise,"29 ContributorsAnother Day in Paradise Lyrics[Verse 1]
Her body's gold like September
She burns through the night like an ember
And all those things we tried forgetting I remember
But we say we all fine we all fine
Sunny day dreams and we up now
Vodka lemonade I serve it up it goes down
75 degrees and a dope sound
All you need to live fine to live fine
A little sunshine cause she need it
A dose of rainfall in the evening
The waves crash down and we feel them
Say here’s to the nights we steal them
And I be running cause I figured out
The more I slow down the less I get out
And if we fall lets be strong now
Moving along we don’t mind we don’t mind

[Chorus]
All the good, comes in waves
I bide my time by the ocean
And at night, I’m awake
To feel the wake of your motion
And I want something that’s feeling alright
Loose cannon but still it won’t fire
No need to leave, spend our whole lives
Another day in paradise
See Quinn XCII LiveGet tickets as low as $30You might also like[Verse 2]
I be gone till November
Going through the letters that I send her
And think about the moment that I met her
Well I’ll be back in due time in due time
Touchdown throw off my own two shoes
Still the same city I be used to
And all the reckless things that we do
Keep us young, they're good signs they're good signs
Take a little more if you need it
Voices of the night won’t mislead it
The tide pulls me in but it takes slow
Here’s to the nights we let go
And I’m hoping that they figure out
It’s all about the scenery along the route
No fears and no problems
These moments are so kind, they're so kind

[Chorus]
All the good, comes in waves
I bide my time by the ocean
And at night, I’m awake
To feel the wake of your motion
And I want something that’s feeling alright
Loose cannon but still it won’t fight
No need to leave, spend the whole night
Another day in paradise
[Bridge]
I don’t need what I’ve sowed
I just need something good
And I know when we’re old
We’ll look back and say “some
Mistakes we made, they made us who we are
These games we played they got us really far""
That shit to most won’t ever mean a thing
But it got us here, so I hold on

[Chorus]
All the good, comes in waves
I bide my time by the ocean
And at night, I’m awake
To feel the wake of your motion
And I want something that’s feeling alright
Loose cannon but still it won’t fight
No need to leave, spend the whole night
Another day in paradise9Embed"
As It Was,"208 ContributorsTranslationsTürkçeEspañolPortuguês日本語ItalianoΕλληνικάDeutschFrançaisEnglishEnglishNederlandsShqipPolski한국어As It Was Lyrics[Intro]
Come on, Harry, we wanna say goodnight to you

[Verse 1]
Holdin' me back
Gravity's holdin' me back
I want you to hold out the palm of your hand
Why don't we leave it at that?
Nothin' to say
When everything gets in the way
Seems you cannot be replaced
And I'm the one who will stay, oh-oh-oh

[Chorus]
In this world, it's just us
You know it's not the same as it was
In this world, it's just us
You know it's not the same as it was
As it was, as it was
You know it's not the same

[Verse 2]
Answer the phone
""Harry, you're no good alone
Why are you sitting at home on the floor?
What kind of pills are you on?""
Ringin' the bell
And nobody's coming to help
Your daddy lives by himself
He just wants to know that you're well, oh-oh-oh
See Harry Styles LiveGet tickets as low as $73You might also like[Chorus]
In this world, it's just us
You know it's not the same as it was
In this world, it's just us
You know it's not the same as it was
As it was, as it was
You know it's not the same

[Bridge]
Go home, get ahead, light-speed internet
I don't wanna talk about the way that it was
Leave America, two kids follow her
I don't wanna talk about who's doin' it first

[Outro]
(Hey)
As it was
You know it's not the same as it was
As it was, as it was188Embed"
Something About Your Love,"5 Contributors​somethinG about your love. LyricsThere's something about your love
That I shouldn't publicly speak of
These feelings were discovered because
You're everything that made up my love

Curious wide awake
But you're the only one in my dreams
I believe we were meant to be

You said that you needed me
Turns out you're deceiving me
Practice what you preach is key
You did what you had to do
Possible reality is seeping through
I'm just a millimeter from leavin' you
It's so bad, but there's something about your love

There's something about your love
There's something about your love
There's something about your love

(Musical Interlude)

Curious wide awake
But you're the only one in my dreams
I believe we were meant to be
You might also likeYou said that you needed me
Turns out you're deceiving me
Practice what you preach is key, oh
You did what you had to do
Possible reality is seeping through
I'm just a millimeter from leavin' your ass
It's so bad, but there's something about your love

There's something about your love
There's something about your love
There's something about your love
There's something about your love

(Guitar Solo)

Da-da-da-da-da-day
Woah-oh-oh-oh-no-nay
Da-da-da-da-da-noo

There's something about your love
There's something about your love
There's something about your love
There's something about your love

There's something about your love
There's something about your love
There's something about your love
There's something about your love
Bah-dap-bah-dap-pahEmbed"
