track_name,acousticness,danceability,energy,instrumentalness,loudness,tempo,valence,happiness,sadness,love,calm,energetic
I Ain't Worried,0.08296761089,0.7113543092,0.7959245222,0.0008028017241,0.8414876477,0.5345123415,0.84579139,1,0,0,0,1
Overwhelming,0.2532276796,0.7715458276,0.6199973862,0,0.8793233083,0.2521125523,0.6765902763,1,0,1,0,0
Satellite,0.1436742706,0.53625171,0.4541232294,3.29E-05,0.8268259936,0.5285977806,0.2846433926,0,0,1,0,0
The Spins,0.01351678001,0.8344733242,0.7647602867,0,0.8960794844,0.4584546014,0.5512957807,1,0,0,0,0
Waste of Time,0.6060097583,0.8891928865,0.5325364672,0,0.7661385607,0.493461775,0.5459413151,1,0,0,0,1
Everything But You (feat. A7S),0.03110563009,0.6771545828,0.7627496909,9.75E-06,0.8582975295,0.4465727755,0.4666952238,0,0,0,0,1
We Will Meet Again,0.3688115516,0.2968536252,0.7848662451,0.007004310345,0.8273093448,0.5045061927,0.245020347,0,0,0,0,1
Another Day in Paradise,0.1617656592,0.6415868673,0.8009510118,0,0.8581095596,0.6982344157,0.5620047119,1,0,1,0,0
As It Was,0.3436846229,0.4596443228,0.7295748595,0.001088362069,0.8573039742,0.7332415893,0.6712358107,1,0,0,0,1
Something About Your Love,0.0134162723,0.5512995896,0.8250781619,0.0001411637931,0.8468313641,0.4292565807,0.2557292782,0,0,1,0,1
Meet Me At Our Spot - Live,0.1597555049,0.6976744186,0.472218592,4.20E-06,0.8117346939,0.2709513074,0.3810237738,0,0,1,0,0
Skyline,0.01793911946,0.7510259918,0.6511616217,0.02349137931,0.8370032223,0.4174040348,0.7676161919,1,0,1,0,0
hello!,0.3316236971,0.5389876881,0.4269801856,0,0.8359291085,0.1772787164,0.270721782,0,1,0,0,0
Too Late (with AJR),0.0202507969,0.7496580027,0.6210026841,0,0.8151181525,0.2359265657,0.6541015207,0,1,1,0,0
Confetti,0.5416848209,0.8399452804,0.4933298483,1.30E-06,0.844226638,0.3650455304,0.4420646819,0,1,0,1,0
Pursuit Of Happiness (Nightmare),0.4864055778,0.610123119,0.6029073216,0.0001001077586,0.7602846402,0.3897695664,0.2471621332,1,0,0,0,0
Leave Before You Love Me (with Jonas Brothers),0.00221971288,0.7346101231,0.7366119449,4.75E-06,0.872556391,0.4172869148,0.6444634825,0,0,1,0,1
Sunroof,0.3537353943,0.7989056088,0.7124847949,0,0.8634264232,0.4844376775,0.8639965731,1,0,0,0,1
Better Not (with Wafia),0.2793596855,0.8194254446,0.534547063,0,0.922207304,0.3822211812,0.3831655601,0,0,0,0,1
Night Feels,0.07171074684,0.756497948,0.6803152614,0.009870689655,0.8878625134,0.4527274324,0.3831655601,1,0,0,0,1
West Coast (feat. Quinn XCII),0.002440829852,0.7250341997,0.7969298202,0.0007306034483,0.8868152524,0.4116710099,0.6680231313,1,0,0,0,1
Stay Next To Me (with Chelsea Cutler),0.08085694888,0.5430916553,0.5817960653,0,0.8683136412,0.768518139,0.7718997644,1,0,1,0,0
Geronimo,0.4582634177,0.7127222982,0.7788344576,0.001637931034,0.8323576799,0.5464234474,0.4517027201,0,0,0,0,1
Anyone,0.1858875108,0.6853625171,0.5184622963,3.87E-06,0.7781686359,0.3933300149,0.5812807882,0,0,1,0,0
Icee Pop,0.1205574962,0.9986320109,0.5697324902,0,0.823254565,0.5052030568,0.8875562219,1,0,1,0,0
Change My Mind,0.3959486345,0.7058823529,0.6380927488,0,0.8521482277,0.756220537,0.7569072607,1,0,0,0,0
moon and back,0.5738472896,0.560875513,0.4913192525,2.67E-05,0.8861976369,0.7695605071,0.4827586207,0,0,1,0,0
The Lows,0.1155321105,0.6046511628,0.6240185779,0,0.809962406,0.2082159693,0.8211608481,1,0,0,0,0
Paradise,0.05110666532,0.3625170999,0.5828013632,9.43E-05,0.8190923738,0.5323866132,0.1893339045,0,0,1,0,0
Antibodies - LP Giobbi Remix,0.1758367393,0.5827633379,0.7637549888,1.13E-06,0.8686895811,0.4468714315,0.2225315913,0,0,1,0,1
Your Light,0.02055232004,0.5937072503,0.9557668915,0.3556034483,0.9184210526,0.3004245601,0.7890340544,1,0,0,0,1
Upside Down,0.2562429111,0.8317373461,0.6451298342,0.0002403017241,0.7773899033,0.3148127544,0.7055043907,1,0,0,0,0
Come Hang Out,0.003807734772,0.585499316,0.723543072,0,0.8752953813,0.2479489357,0.3756693082,0,0,0,0,1
Magic In The Hamptons (feat. Lil Yachty),0.6632991557,0.8002735978,0.4762397837,0,0.8572771214,0.2771820923,0.8222317413,1,0,1,0,0
Unbreakable,0.003375551599,0.3748290014,0.8482000141,1.29E-06,0.8866809882,0.2412555266,0.3788819876,0,0,0,0,1
Who Do You Love,0.03371883067,0.6785225718,0.4078795251,0,0.7385338346,0.8456826633,0.1347183551,0,0,1,0,1
Bad Habit,0.6291265327,0.6867305062,0.5043881254,8.09E-05,0.8100698174,0.7041079847,0.7012208182,0,1,1,0,0
Wherever I Go,0.1004559532,0.487004104,0.673278176,0,0.8274704619,0.30013176,0.3349753695,0,0,0,0,1
Another Life (feat. FLETCHER & Josh Golden),0.01984876604,0.634746922,0.7225377741,0,0.8613050483,0.4467894475,0.3713857357,0,0,1,0,1
Straight Up Relaxin' (feat. Cosmo's Midnight),0.07583156314,0.6757865937,0.6722728781,2.76E-06,0.8066595059,0.3586566334,0.7204968944,1,0,0,1,0
